title;description;deadline;completed;duration;importance;hatelevel
Cellulitis of left lower limb;Schizoaffective disorder, depressive type;2024-01-06T00:00:00.0000000+01:00;False;36288;4;4
Poisoning by antithyroid drugs, assault, initial encounter;Unspecified open wound of left little finger with damage to nail, sequela;2024-05-07T00:00:00.0000000+02:00;True;72631;5;2
Squamous cell carcinoma of skin of right ear and external auricular canal;Sprain of carpal joint of unspecified wrist, sequela;;True;64593;2;4
Intermittent alternating esotropia;Unspecified open wound of unspecified finger without damage to nail, sequela;;False;18355;4;1
Other injury due to other accident to passenger ship, initial encounter;Nondisplaced fracture of fifth metatarsal bone, right foot, initial encounter for closed fracture;2023-02-11T00:00:00.0000000+01:00;False;28032;4;4
Exhaustion due to exposure, subsequent encounter;External constriction, left great toe, initial encounter;2023-07-10T00:00:00.0000000+02:00;False;6386;4;4
Intentional self-harm by jumping or lying in front of (subway) train;Other specified injury of lesser saphenous vein at lower leg level, right leg, subsequent encounter;;False;34630;3;1
Malignant neoplasm of pyloric antrum;Subinvolution of uterus;2023-09-11T00:00:00.0000000+02:00;False;77189;5;3
Person injured in collision between other specified motor vehicle, nontraffic, sequela;Corrosion of second degree of single right finger (nail) except thumb, subsequent encounter;;False;37536;5;3
Unspecified superficial injury of unspecified part of neck;Blister (nonthermal) of scrotum and testes, sequela;2024-03-04T00:00:00.0000000+01:00;True;47711;4;2
Carcinoma in situ of digestive organ, unspecified;Chronic iridocyclitis, right eye;;True;70687;1;3
Toxic effect of other metals, accidental (unintentional);Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela;;True;13049;4;2
Other sprain of sternum, initial encounter;Unspecified soft tissue disorder related to use, overuse and pressure, left upper arm;;True;49268;5;3
Other recurrent vertebral dislocation, cervicothoracic region;Chronic venous hypertension (idiopathic) with other complications of bilateral lower extremity;;True;23270;4;2
Fluency disorder following nontraumatic subarachnoid hemorrhage;Laceration of flexor muscle, fascia and tendon of left ring finger at wrist and hand level, subsequent encounter;2023-04-11T00:00:00.0000000+02:00;True;31303;4;3
Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing;Other bursal cyst, left shoulder;2023-12-10T00:00:00.0000000+01:00;True;52198;3;1
Blister (nonthermal) of breast, right breast;Madarosis of left upper eyelid and periocular area;;True;48860;2;4
Other streptococcal arthritis, left wrist;Displaced fracture of proximal phalanx of left little finger, subsequent encounter for fracture with routine healing;2023-11-12T00:00:00.0000000+01:00;True;80486;4;5
Supervision of pregnancy with grand multiparity, first trimester;Maternal care for known or suspected placental insufficiency;2024-06-02T00:00:00.0000000+02:00;False;65229;1;3
Galeazzi's fracture of right radius, subsequent encounter for closed fracture with delayed healing;Burn of mouth and pharynx;;False;36521;1;1
Unspecified injury of unspecified blood vessel at hip and thigh level, right leg, subsequent encounter;Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;;False;38961;4;5
Wedge compression fracture of first lumbar vertebra, sequela;Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis;2024-07-01T00:00:00.0000000+02:00;True;62227;4;4
Acute slipped upper femoral epiphysis (nontraumatic), left hip;Other sprain of right shoulder joint, sequela;2023-07-09T00:00:00.0000000+02:00;True;42663;4;2
Acute mastoiditis without complications;Laceration with foreign body of left little finger with damage to nail, initial encounter;2024-08-01T00:00:00.0000000+02:00;True;45267;2;4
Nondisplaced longitudinal fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture;2024-08-04T00:00:00.0000000+02:00;True;82129;5;2
Nonmedicinal substance allergy status;Sprain of unspecified collateral ligament of left knee, subsequent encounter;2024-06-07T00:00:00.0000000+02:00;False;11105;1;4
Pathological fracture in other disease, hand;Maternal care for abnormality of pelvic organ, unspecified, second trimester;;False;51204;4;4
Nondisplaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with nonunion;Other fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing;;False;82457;4;4
Other air transport accidents, not elsewhere classified;Puncture wound with foreign body of left upper arm;;False;43785;5;4
Burn of unspecified degree of scalp [any part];Recurrent dislocation, wrist;;True;66374;2;3
Infection and inflammatory reaction due to implanted electronic neurostimulator of brain, electrode (lead), initial encounter;Poisoning by antithrombotic drugs, intentional self-harm, initial encounter;;False;61406;1;3
Algoneurodystrophy, left forearm;Displaced fracture of capitate [os magnum] bone, right wrist, sequela;2024-07-06T00:00:00.0000000+02:00;False;46950;5;4
Pigmentary glaucoma, left eye, moderate stage;Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;2024-04-04T00:00:00.0000000+02:00;False;46490;1;4
Senile entropion of left lower eyelid;Foreign body in vulva and vagina;2024-12-01T00:00:00.0000000+01:00;True;69780;1;4
Adverse effect of unspecified narcotics, initial encounter;Corrosion of third degree of elbow;;True;53531;2;3
Extreme immaturity of newborn, gestational age less than 23 completed weeks;Subluxation of distal end of left ulna, initial encounter;;False;7093;4;4
Unspecified sprain of unspecified thumb, sequela;Drowning and submersion due to fall off other unpowered watercraft;;True;48606;4;1
Cerebral infarction due to thrombosis of right posterior cerebral artery;Unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level;2024-09-05T00:00:00.0000000+02:00;True;8606;5;2
Corneal transplant status;Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus;;False;1034;5;1
Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter;Other complications of procedures, not elsewhere classified, initial encounter;;True;63209;5;4
Other injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, unspecified leg, initial encounter;Superficial foreign body of wrist;;False;79485;4;1
Personal history of malignant neoplasm, unspecified;Poisoning by, adverse effect of and underdosing of tetracyclines;;True;36847;3;4
Fracture of other specified skull and facial bones, unspecified side, subsequent encounter for fracture with nonunion;Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, sequela;2024-08-04T00:00:00.0000000+02:00;True;35660;2;3
Necrotizing enterocolitis in newborn, unspecified;Injury of optic chiasm, initial encounter;;False;27149;4;3
