title;description;deadline;completed;duration;importance;hatelevel
Laceration without foreign body, right lower leg, sequela;Unspecified sprain of unspecified foot, subsequent encounter;;False;39318;0;2
Contusion of anus, sequela;Sprain of calcaneofibular ligament of unspecified ankle, initial encounter;2023-05-10T00:00:00.0000000+02:00;True;11277;4;3
Unspecified fracture of upper end of left ulna;Nondisplaced fracture of body of unspecified talus, subsequent encounter for fracture with delayed healing;2024-10-03T00:00:00.0000000+02:00;True;48953;3;0
Unspecified physeal fracture of lower end of radius, unspecified arm, sequela;Partial traumatic transphalangeal amputation of thumb;2024-12-07T00:00:00.0000000+01:00;True;25194;0;1
Underdosing of other specified systemic anti-infectives and antiparasitics, initial encounter;Volcanic eruption, initial encounter;2023-03-12T00:00:00.0000000+01:00;False;10644;2;1
Poisoning by other estrogens and progestogens, assault, subsequent encounter;Other specified injuries right forearm, initial encounter;2024-05-08T00:00:00.0000000+02:00;True;43401;4;0
Stress fracture, unspecified tibia and fibula, initial encounter for fracture;Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion;;False;72036;2;0
Corrosion of third degree of unspecified hand, unspecified site, sequela;Conjunctival adhesions and strands (localized);2024-02-01T00:00:00.0000000+01:00;False;45633;4;4
Lichen striatus;Fracture of nasal bones;;False;39132;0;1
Displaced fracture of neck of unspecified talus, sequela;Nondisplaced midcervical fracture of unspecified femur, initial encounter for closed fracture;;False;51598;2;4
Puncture wound without foreign body of right lesser toe(s) without damage to nail, initial encounter;Unspecified intermittent heterotropia;;False;77171;3;0
Person boarding or alighting a car injured in collision with other type car, sequela;Renal tubulo-interstitial disease, unspecified;;True;19695;3;2
Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, sequela;Contact with other nonvenomous amphibians, subsequent encounter;2024-09-02T00:00:00.0000000+02:00;False;47126;2;2
Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion;Charcot's joint, unspecified hand;;True;54749;0;2
